epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,29367,1.34186,1.02856,1.06159,0.62208,0.51274,0.54445,0.34278,1.29699,0.98505,1.06441,0.000728717,0.000728717,0.000728717
76,29759.4,1.34162,1.01921,1.05915,0.60862,0.51909,0.54605,0.34388,1.29446,0.98208,1.06237,0.000722208,0.000722208,0.000722208
77,30151.2,1.34071,1.01731,1.06018,0.61915,0.51699,0.54776,0.34499,1.29414,0.98002,1.06227,0.000715656,0.000715656,0.000715656
78,30538.1,1.33898,1.01517,1.0555,0.61926,0.51793,0.54612,0.34484,1.29354,0.98167,1.06184,0.000709064,0.000709064,0.000709064
79,30925.3,1.33618,1.02075,1.05947,0.61535,0.51829,0.54694,0.3449,1.29204,0.9809,1.0619,0.000702432,0.000702432,0.000702432
80,31323.4,1.34156,1.01683,1.05752,0.62389,0.51494,0.54908,0.34607,1.29173,0.97825,1.06131,0.000695763,0.000695763,0.000695763
81,31710.5,1.3281,1.00506,1.05709,0.63471,0.51274,0.55213,0.34807,1.28978,0.97741,1.06063,0.000689058,0.000689058,0.000689058
82,32107.7,1.32948,1.00948,1.05479,0.62278,0.52083,0.55319,0.34856,1.28929,0.97465,1.05988,0.000682318,0.000682318,0.000682318
83,32505.5,1.32859,1.00341,1.05296,0.61948,0.52328,0.55242,0.34823,1.29047,0.97495,1.06047,0.000675546,0.000675546,0.000675546
84,32905.2,1.33164,1.00489,1.05558,0.62084,0.51673,0.55139,0.34771,1.28963,0.97423,1.06037,0.000668743,0.000668743,0.000668743
85,33292,1.32899,1.00407,1.05565,0.62554,0.51756,0.55213,0.34791,1.29026,0.97587,1.06032,0.00066191,0.00066191,0.00066191
86,33683.3,1.32513,0.99351,1.05261,0.62831,0.51351,0.55042,0.34656,1.29191,0.97463,1.06119,0.00065505,0.00065505,0.00065505
87,34075.9,1.32189,0.99084,1.05117,0.62325,0.52026,0.55139,0.34632,1.29374,0.97465,1.06113,0.000648164,0.000648164,0.000648164
88,34477.7,1.33017,0.9953,1.05311,0.62357,0.52161,0.55096,0.346,1.29308,0.97506,1.0613,0.000641254,0.000641254,0.000641254
